Quarter,Bio_Forecast,Bio_Lower,Bio_Upper,Demo_Forecast,Demo_Lower,Demo_Upper,Enrol_Forecast,Enrol_Lower,Enrol_Upper
Q1 2026,21357863.798520364,14950504.658964254,32036795.697780546,51971353.40584873,31182812.043509234,83154165.44935797,4500819.477515026,2925532.660384767,6751229.2162725385
Q2 2026,27550865.730110224,19285606.011077154,41326298.595165335,100669412.60133064,60401647.56079838,161071060.16212904,7419123.8672229685,4822430.51369493,11128685.800834453
Q3 2026,37580887.85051086,26306621.4953576,56371331.77576628,201400076.4955419,120840045.89732513,322240122.3928671,10337428.25693091,6719328.367005092,15506142.385396365
Q4 2026,53825246.37760398,37677672.46432278,80737869.56640597,431490294.81530607,258894176.88918364,690384471.7044897,13255732.646638853,8616226.220315255,19883598.96995828
